,doctor,nurse,patient,walking,waiting_instruction,ocupied,empty,admiting,documenting,checking-medicine,documenting-risk,waiting_admission,in-admission,walking_%,documenting_%,not-walking_%,not-documenting_%
48,2,3,13,0,3,13,39,0,2,0,0,5,8,0.16666666666666666,0.2638888888888889,0.8333333333333334,0.7361111111111112
49,2,3,13,3,0,13,39,0,2,0,0,5,8,0.17006802721088435,0.272108843537415,0.8299319727891157,0.727891156462585
50,2,3,13,3,1,13,39,0,1,0,0,5,8,0.17333333333333334,0.2733333333333334,0.8266666666666667,0.7266666666666666
51,2,3,13,4,0,13,39,0,1,0,0,5,8,0.1830065359477124,0.27450980392156865,0.8169934640522876,0.7254901960784313
52,2,3,13,4,1,13,39,0,0,0,0,5,8,0.1923076923076923,0.2692307692307693,0.8076923076923077,0.7307692307692307
53,2,3,13,5,0,13,39,0,0,0,0,5,8,0.20754716981132076,0.26415094339622647,0.7924528301886793,0.7358490566037735
54,2,3,13,4,0,13,39,1,0,0,0,5,8,0.21604938271604937,0.2592592592592593,0.7839506172839507,0.7407407407407407
55,2,3,13,2,0,13,39,3,0,0,0,4,9,0.21818181818181817,0.2545454545454546,0.7818181818181819,0.7454545454545454
56,2,3,13,1,0,13,39,4,0,0,0,4,9,0.21428571428571427,0.25000000000000006,0.7857142857142857,0.75
57,2,3,13,0,0,13,39,5,0,0,0,3,10,0.21052631578947367,0.24561403508771934,0.7894736842105263,0.7543859649122806
58,2,3,13,0,0,13,39,5,0,0,0,3,10,0.20689655172413793,0.24137931034482762,0.7931034482758621,0.7586206896551724
59,2,3,13,0,0,13,39,5,0,0,0,3,10,0.2033898305084746,0.23728813559322037,0.7966101694915254,0.7627118644067796
60,2,3,13,0,0,13,39,5,0,0,0,3,10,0.2,0.23333333333333336,0.8,0.7666666666666666
61,2,3,13,0,1,13,39,4,0,0,0,3,10,0.19672131147540983,0.2295081967213115,0.8032786885245902,0.7704918032786885
62,2,3,13,1,2,13,39,2,0,0,0,3,10,0.1989247311827957,0.22580645161290328,0.8010752688172043,0.7741935483870968
63,2,3,13,3,1,13,39,1,0,0,0,3,10,0.20634920634920634,0.22222222222222227,0.7936507936507937,0.7777777777777777
64,2,3,13,4,1,13,39,0,0,0,0,3,10,0.21875,0.21875000000000003,0.78125,0.78125
65,2,3,13,5,0,13,39,0,0,0,0,3,10,0.23076923076923078,0.21538461538461542,0.7692307692307692,0.7846153846153846
66,2,3,13,5,0,13,39,0,0,0,0,3,10,0.24242424242424243,0.21212121212121215,0.7575757575757576,0.7878787878787878
67,2,3,13,2,0,13,39,0,3,0,0,3,10,0.23880597014925373,0.2238805970149254,0.7611940298507462,0.7761194029850746
68,2,3,13,2,0,13,39,0,3,0,0,3,10,0.23529411764705882,0.23529411764705885,0.7647058823529411,0.7647058823529411
69,2,3,13,2,0,13,39,0,3,0,0,3,10,0.2318840579710145,0.24637681159420294,0.7681159420289855,0.7536231884057971
70,2,3,13,1,0,13,39,1,3,0,0,2,11,0.22857142857142856,0.2571428571428572,0.7714285714285715,0.7428571428571429
71,2,3,13,0,0,13,39,2,3,0,0,1,12,0.22535211267605634,0.26760563380281693,0.7746478873239436,0.732394366197183
72,2,3,13,0,0,13,39,2,3,0,0,1,12,0.2222222222222222,0.2777777777777778,0.7777777777777778,0.7222222222222222
73,2,3,13,0,0,13,39,2,3,0,0,1,12,0.2191780821917808,0.2876712328767123,0.7808219178082192,0.7123287671232876
74,2,3,13,0,3,13,39,2,0,0,0,1,12,0.21621621621621623,0.28378378378378377,0.7837837837837838,0.7162162162162162
75,2,3,13,3,0,13,39,2,0,0,0,1,12,0.22666666666666666,0.28,0.7733333333333333,0.72
76,2,3,13,3,0,13,39,2,0,0,0,1,12,0.23684210526315788,0.27631578947368424,0.7631578947368421,0.7236842105263157
77,2,3,13,3,1,13,39,1,0,0,0,1,12,0.24675324675324675,0.27272727272727276,0.7532467532467533,0.7272727272727273
78,2,3,13,2,2,13,39,1,0,0,0,1,12,0.25213675213675213,0.2692307692307693,0.7478632478632479,0.7307692307692307
79,2,3,13,2,1,13,39,2,0,0,0,1,12,0.25316455696202533,0.2658227848101266,0.7468354430379747,0.7341772151898733
80,2,3,13,2,1,13,39,2,0,0,0,1,12,0.2541666666666667,0.2625,0.7458333333333333,0.7375
81,2,3,13,1,1,13,39,3,0,0,0,1,12,0.25102880658436216,0.25925925925925924,0.7489711934156378,0.7407407407407407
82,2,3,13,1,1,13,39,3,0,0,0,1,12,0.24796747967479676,0.25609756097560976,0.7520325203252032,0.7439024390243902
83,2,3,13,0,1,13,39,4,0,0,0,0,13,0.24497991967871488,0.25301204819277107,0.7550200803212851,0.7469879518072289
84,2,3,13,0,1,13,39,4,0,0,0,0,13,0.2420634920634921,0.24999999999999997,0.7579365079365079,0.75
85,2,3,13,0,2,13,39,3,0,0,0,0,13,0.23921568627450984,0.24705882352941175,0.7607843137254902,0.7529411764705882
86,2,3,13,1,2,13,39,2,0,0,0,0,13,0.24031007751937988,0.24418604651162787,0.7596899224806202,0.7558139534883721
87,2,3,13,2,1,13,39,2,0,0,0,0,13,0.24521072796934865,0.24137931034482757,0.7547892720306514,0.7586206896551724
88,2,3,13,2,2,13,39,1,0,0,0,0,13,0.25,0.23863636363636362,0.75,0.7613636363636364
89,2,3,13,2,1,13,39,1,1,0,0,0,13,0.2546816479400749,0.23970037453183518,0.7453183520599251,0.7602996254681649
90,2,3,13,2,2,13,39,0,1,0,0,0,13,0.25925925925925924,0.24074074074074073,0.7407407407407407,0.7592592592592593
91,2,3,13,1,2,13,39,0,2,0,0,0,13,0.2600732600732601,0.2454212454212454,0.73992673992674,0.7545787545787546
92,2,3,13,1,2,13,39,0,2,0,0,0,13,0.2608695652173913,0.25,0.7391304347826086,0.75
93,2,3,13,1,2,13,39,0,2,0,0,0,13,0.2616487455197133,0.25448028673835127,0.7383512544802867,0.7455197132616487
94,2,3,13,1,2,13,39,0,2,0,0,0,13,0.26241134751773054,0.25886524822695034,0.7375886524822695,0.7411347517730497
95,2,3,13,0,2,13,39,0,3,0,0,0,13,0.2596491228070176,0.26666666666666666,0.7403508771929824,0.7333333333333334
96,2,3,13,0,3,13,39,0,2,0,0,0,13,0.2569444444444445,0.2708333333333333,0.7430555555555556,0.7291666666666667
97,2,3,13,1,2,13,39,0,2,0,0,0,13,0.2577319587628866,0.27491408934707906,0.7422680412371134,0.7250859106529209
98,2,3,13,1,3,13,39,0,1,0,0,0,13,0.2585034013605443,0.2755102040816326,0.7414965986394557,0.7244897959183674
99,2,3,13,2,2,13,39,0,1,0,0,0,13,0.26262626262626265,0.27609427609427606,0.7373737373737373,0.7239057239057239
100,2,3,13,1,2,13,39,1,1,0,0,0,13,0.26333333333333336,0.2766666666666666,0.7366666666666666,0.7233333333333334
101,2,3,13,0,2,13,39,2,1,0,0,0,13,0.2607260726072608,0.2772277227722772,0.7392739273927392,0.7227722772277227
102,2,3,13,0,3,13,39,2,0,0,0,0,13,0.2581699346405229,0.2745098039215686,0.7418300653594772,0.7254901960784315
103,2,3,13,1,2,13,39,2,0,0,0,0,13,0.25889967637540456,0.2718446601941747,0.7411003236245954,0.7281553398058254
104,2,3,13,1,2,13,39,2,0,0,0,0,13,0.25961538461538464,0.26923076923076916,0.7403846153846154,0.7307692307692308
105,2,3,13,1,2,13,39,2,0,0,0,0,13,0.26031746031746034,0.26666666666666655,0.7396825396825397,0.7333333333333334
106,2,3,13,1,2,13,39,2,0,0,0,0,13,0.2610062893081761,0.2641509433962263,0.7389937106918238,0.7358490566037736
107,2,3,13,0,3,13,39,2,0,0,0,0,13,0.2585669781931464,0.26168224299065407,0.7414330218068537,0.738317757009346
108,2,3,13,1,3,13,39,1,0,0,0,0,13,0.2592592592592592,0.25925925925925913,0.7407407407407408,0.7407407407407409
109,2,3,13,2,2,13,39,1,0,0,0,0,13,0.2629969418960244,0.256880733944954,0.7370030581039756,0.7431192660550461
110,2,3,13,2,2,13,39,1,0,0,0,0,13,0.2666666666666666,0.25454545454545435,0.7333333333333334,0.7454545454545456
111,2,3,13,0,2,13,39,1,2,0,0,0,13,0.26426426426426425,0.2582582582582581,0.7357357357357357,0.7417417417417419
112,2,3,13,0,2,13,39,1,2,0,0,0,13,0.2619047619047619,0.26190476190476175,0.7380952380952381,0.7380952380952382
113,2,3,13,0,2,13,39,1,2,0,0,0,13,0.25958702064896755,0.26548672566371667,0.7404129793510325,0.7345132743362833
114,2,3,13,0,3,13,39,0,2,0,0,0,13,0.2573099415204678,0.26900584795321625,0.7426900584795322,0.7309941520467838
115,2,3,13,1,2,13,39,0,2,0,0,0,13,0.2579710144927536,0.2724637681159419,0.7420289855072464,0.7275362318840581
116,2,3,13,1,2,13,39,0,2,0,0,0,13,0.25862068965517243,0.2758620689655171,0.7413793103448276,0.7241379310344829
117,2,3,13,1,2,13,39,0,2,0,0,0,13,0.25925925925925924,0.2792022792022791,0.7407407407407407,0.720797720797721
118,2,3,13,1,4,13,39,0,0,0,0,0,13,0.2598870056497175,0.2768361581920903,0.7401129943502824,0.7231638418079097
119,2,3,13,1,3,13,39,0,1,0,0,0,13,0.2605042016806723,0.2773109243697478,0.7394957983193278,0.7226890756302522
120,2,3,13,1,3,13,39,0,1,0,0,0,13,0.2611111111111111,0.2777777777777777,0.7388888888888889,0.7222222222222223
121,2,3,13,1,3,13,39,0,1,0,0,0,13,0.26170798898071623,0.2782369146005509,0.7382920110192838,0.7217630853994491
122,2,3,13,1,3,13,39,0,1,0,0,0,13,0.2622950819672131,0.27868852459016386,0.7377049180327869,0.7213114754098362
123,2,3,13,1,3,13,39,0,1,0,0,0,13,0.26287262872628725,0.2791327913279132,0.7371273712737128,0.7208672086720869
124,2,3,13,0,3,13,39,1,1,0,0,0,13,0.260752688172043,0.2795698924731182,0.739247311827957,0.7204301075268817
125,2,3,13,0,3,13,39,1,1,0,0,0,13,0.25866666666666666,0.2799999999999999,0.7413333333333334,0.7200000000000001
126,2,3,13,0,4,13,39,1,0,0,0,0,13,0.2566137566137566,0.2777777777777777,0.7433862433862434,0.7222222222222223
127,2,3,13,0,4,13,39,1,0,0,0,0,13,0.2545931758530184,0.27559055118110226,0.7454068241469816,0.7244094488188977
128,2,3,13,0,4,13,39,1,0,0,0,0,13,0.2526041666666667,0.2734374999999999,0.7473958333333333,0.7265625000000001
129,2,3,13,0,4,13,39,1,0,0,0,0,13,0.25064599483204136,0.2713178294573642,0.7493540051679586,0.7286821705426358
130,2,3,13,0,4,13,39,1,0,0,0,0,13,0.24871794871794875,0.2692307692307691,0.7512820512820513,0.7307692307692308
131,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2468193384223919,0.26717557251908386,0.7531806615776081,0.7328244274809161
132,2,3,13,1,4,13,39,0,0,0,0,0,13,0.24747474747474751,0.265151515151515,0.7525252525252525,0.734848484848485
133,2,3,13,1,4,13,39,0,0,0,0,0,13,0.24812030075187974,0.263157894736842,0.7518796992481203,0.736842105263158
134,2,3,13,1,4,13,39,0,0,0,0,0,13,0.24875621890547267,0.26119402985074613,0.7512437810945274,0.7388059701492539
