filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":471,""y"":401,""width"":37,""height"":88}","{""name"":""cart"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":515,""y"":203,""width"":85,""height"":33}","{""name"":""cart"",""Id"":""0""}"
